"hash","copies","bytes_each","wasted_bytes","category","canonical_legacy_path","canonical_live_url","example_paths"
"16E9B4D37118E2F7E8488D9038B4CFC1E20AB10538ABACCD3613FA55D9AAD06D","5","50280794","201123176","animation","uploads/9/1/6/0/91600416/ezgif-2-0153de9630_2.gif","/media/animations/ezgif-2-0153de9630-2.gif","uploads/9/1/6/0/91600416/ezgif-2-0153de9630_1.gif; uploads/9/1/6/0/91600416/ezgif-2-0153de9630_2.gif; uploads/9/1/6/0/91600416/ezgif-2-0153de9630_4.gif; uploads/9/1/6/0/91600416/ezgif-2-0153de9630_5.gif; uploads/9/1/6/0/91600416/ezgif-2-0153de9630_orig.gif"
"8017F08D330E34948AB449034B069F393E0015E1439C23F5DA3E2655F315ED62","4","44462521","133387563","animation","uploads/9/1/6/0/91600416/forward-reverse-gif_2.gif","/media/animations/forward-reverse-gif-2.gif","uploads/9/1/6/0/91600416/forward-reverse-gif_1.gif; uploads/9/1/6/0/91600416/forward-reverse-gif_2.gif; uploads/9/1/6/0/91600416/forward-reverse-gif_3.gif; uploads/9/1/6/0/91600416/forward-reverse-gif_orig.gif"
"DBB3BA86C6A7EA7010E3E1F5332BF7E8139E4426DC6DFB5007B2D820902F9CB3","2","78731692","78731692","animation","uploads/9/1/6/0/91600416/output_1.gif","/media/animations/output-1.gif","uploads/9/1/6/0/91600416/output_1.gif; uploads/9/1/6/0/91600416/output_orig.gif"
"689B6938212B1DE3BAB6D82BBCBB7E32021CD47C9161F9BB21C84BBB11FEC847","4","10226700","30680100","animation","uploads/9/1/6/0/91600416/ezgif-3-aca8819603_3.gif","/media/animations/ezgif-3-aca8819603-3.gif","uploads/9/1/6/0/91600416/ezgif-3-aca8819603_2.gif; uploads/9/1/6/0/91600416/ezgif-3-aca8819603_3.gif; uploads/9/1/6/0/91600416/ezgif-3-aca8819603_4.gif; uploads/9/1/6/0/91600416/ezgif-3-aca8819603_orig.gif"
"7CEF57F9009A99470A8DD960FB6BCBA7B8167488749B9ECBFA89A05BACAB49AB","3","8848124","17696248","audio","uploads/9/1/6/0/91600416/what_is_it_like_to_sleep_-_matthieu_koroma_1.mp3","/media/audio/what-is-it-like-to-sleep-matthieu-koroma-1.mp3","uploads/9/1/6/0/91600416/what_is_it_like_to_sleep_-_matthieu_koroma.mp3; uploads/9/1/6/0/91600416/what_is_it_like_to_sleep_-_matthieu_koroma_1.mp3; uploads/9/1/6/0/91600416/what_is_it_like_to_sleep_-_matthieu_koroma_2.mp3"
"F187AB5F09EDE55FD79E2D773F1F7F19E493BC9C543AE2B9674CF7EBBAC7C76C","3","7571326","15142652","animation","uploads/9/1/6/0/91600416/ezgif-4-e893a2d506_2.gif","/media/animations/ezgif-4-e893a2d506-2.gif","uploads/9/1/6/0/91600416/ezgif-4-e893a2d506_2.gif; uploads/9/1/6/0/91600416/ezgif-4-e893a2d506_3.gif; uploads/9/1/6/0/91600416/ezgif-4-e893a2d506_orig.gif"
"305DE8DB9B2B3D78193DC92BB589D397EBFA1812D6623B859105AAAF32BA18B8","3","7495438","14990876","animation","uploads/9/1/6/0/91600416/ezgif-6-694c5e7c21_2.gif","/media/animations/ezgif-6-694c5e7c21-2.gif","uploads/9/1/6/0/91600416/ezgif-6-694c5e7c21_2.gif; uploads/9/1/6/0/91600416/ezgif-6-694c5e7c21_3.gif; uploads/9/1/6/0/91600416/ezgif-6-694c5e7c21_orig.gif"
"BFE65A3EF5EF580F6AB4BBCB9E77FCD112B51F848459268C14B8F22F2E5EF59E","5","3416942","13667768","pdf","uploads/9/1/6/0/91600416/alius_bulletin_n°1.pdf","/library/pdfs/alius-bulletin-n-1.pdf","uploads/9/1/6/0/91600416/alius_bulletin_n°1.pdf; uploads/9/1/6/0/91600416/alius_bulletin_n°1__2017_.pdf; uploads/9/1/6/0/91600416/alius_bulletin_n°1_2017a.pdf; uploads/9/1/6/0/91600416/alius_bulletin_n°1_2022.pdf; uploads/9/1/6/0/91600416/alius_bulletin_n°1_2023.pdf"
"38FF933B8DA5FCD9CDED7FB97A815E58353945ABF9458648639D9FF8AAA04EC9","3","5035414","10070828","animation","uploads/9/1/6/0/91600416/ezgif-6-61cf71fce1_orig.gif","/media/animations/ezgif-6-61cf71fce1-orig.gif","uploads/9/1/6/0/91600416/ezgif-6-61cf71fce1_1.gif; uploads/9/1/6/0/91600416/ezgif-6-61cf71fce1_2.gif; uploads/9/1/6/0/91600416/ezgif-6-61cf71fce1_orig.gif"
"E9EBD5676EF6F5A3B49D51FC3C6857EC70D4775E831E868508E83197D02A2B41","3","4285306","8570612","animation","uploads/9/1/6/0/91600416/lung-mechanics-respiratory-coupling1_orig.gif","/media/animations/lung-mechanics-respiratory-coupling1-orig.gif","uploads/9/1/6/0/91600416/lung-mechanics-respiratory-coupling1_1.gif; uploads/9/1/6/0/91600416/lung-mechanics-respiratory-coupling1_2.gif; uploads/9/1/6/0/91600416/lung-mechanics-respiratory-coupling1_orig.gif"
"987E78D1B0F41798CBB82DF8CCC909D0D682C2CB62B8D29881BF148EC26992B0","13","680727","8168724","image","uploads/9/1/6/0/91600416/image-3_2.png","/media/images/image-3-2.png","uploads/9/1/6/0/91600416/image-3_12.png; uploads/9/1/6/0/91600416/image-3_13.png; uploads/9/1/6/0/91600416/image-3_14.png; uploads/9/1/6/0/91600416/image-3_15.png; uploads/9/1/6/0/91600416/image-3_17.png"
"2EF7840767773025EFB340834487E0A5DB9B45730CA729634CF5591F1A3A9F34","3","2767942","5535884","image","uploads/9/1/6/0/91600416/alius_flyer.png","/media/images/alius-flyer.png","uploads/9/1/6/0/91600416/alius_flyer.png; uploads/9/1/6/0/91600416/alius_flyer_2.png; uploads/9/1/6/0/91600416/alius_flyer_3.png"
"94F5F4B19F7F6FE7EAF84B8D9B335647A62CCC6A9483E9882298D2A67396819B","2","4858806","4858806","pdf","uploads/9/1/6/0/91600416/alius_bulletin_n°2__2018_.pdf","/library/pdfs/alius-bulletin-n-2-2018.pdf","uploads/9/1/6/0/91600416/alius_bulletin_n°2__2018_.pdf; uploads/9/1/6/0/91600416/alius_bulletin_n°2__2018__2.pdf"
"50BE32DD3B2E9CE6A2EAD36BEBE86FB50143783A08746E789CA9F3907021E302","2","4494963","4494963","image","uploads/9/1/6/0/91600416/background-images/background-images/292403547.png",,"uploads/9/1/6/0/91600416/background-images/background-images/1389374582.png; uploads/9/1/6/0/91600416/background-images/background-images/292403547.png"
"7B263107F05424343C47BD02E00EA0EC7D2828B302424A8D2F708548276DE3A7","13","357950","4295400","image","uploads/9/1/6/0/91600416/headshot-enzo_2.png","/media/images/headshot-enzo-2.png","uploads/9/1/6/0/91600416/headshot-enzo_12.png; uploads/9/1/6/0/91600416/headshot-enzo_13.png; uploads/9/1/6/0/91600416/headshot-enzo_14.png; uploads/9/1/6/0/91600416/headshot-enzo_15.png; uploads/9/1/6/0/91600416/headshot-enzo_17.png"
"57C44CA6797575B2DFA4491FE0F704AF53C8E5DC9FCD2F20F5DE2646659F2FCE","13","350131","4201572","image","uploads/9/1/6/0/91600416/screen-shot-2018-07-16-at-10-26-47_2.png","/media/images/screen-shot-2018-07-16-at-10-26-47-2.png","uploads/9/1/6/0/91600416/screen-shot-2018-07-16-at-10-26-47_11.png; uploads/9/1/6/0/91600416/screen-shot-2018-07-16-at-10-26-47_12.png; uploads/9/1/6/0/91600416/screen-shot-2018-07-16-at-10-26-47_13.png; uploads/9/1/6/0/91600416/screen-shot-2018-07-16-at-10-26-47_14.png; uploads/9/1/6/0/91600416/screen-shot-2018-07-16-at-10-26-47_16.png"
"9F4C05FE636EAE30DF71B751CC7DC575DA77E9F63F9E345A3B06A1D6932A93DE","2","4129934","4129934","pdf","uploads/9/1/6/0/91600416/alius_bulletin_n°4.pdf","/library/pdfs/alius-bulletin-n-4.pdf","uploads/9/1/6/0/91600416/alius_bulletin_n°4.pdf; uploads/9/1/6/0/91600416/alius_bulletin_n°4_1.pdf"
"3F32409199A78633B36EF50B1A174E304FF7999ED0C3164C3C1F01DAF513BAF9","4","1166877","3500631","image","uploads/9/1/6/0/91600416/vrachos_3.png","/media/images/vrachos-3.png","uploads/9/1/6/0/91600416/vrachos_1.png; uploads/9/1/6/0/91600416/vrachos_2.png; uploads/9/1/6/0/91600416/vrachos_3.png; uploads/9/1/6/0/91600416/vrachos_orig.png"
"5B71CE33782B76A5F00042E1646C73E52006F8D09EDBD544888CEE37CB7FACDF","2","3300209","3300209","animation","uploads/9/1/6/0/91600416/alius-eventbannertemplate-jc-nr05_orig.gif",,"uploads/9/1/6/0/91600416/alius-eventbannertemplate-jc-nr05_orig.gif; uploads/9/1/6/0/91600416/alius-eventbanner-template-jc-nr05_orig.gif"
"937A848B5B5E12EA2909A2AF1278C2D8E8A09BC64E011BD468EF0AEB09BBF8F9","3","1391638","2783276","image","uploads/9/1/6/0/91600416/output-lossless_1.gif","/media/images/output-lossless-1.gif","uploads/9/1/6/0/91600416/output-lossless_1.gif; uploads/9/1/6/0/91600416/output-lossless_3.gif; uploads/9/1/6/0/91600416/output-lossless_4.gif"
"A1FEB738BB3798D3A4EC81D32C24917536167ED52E0A72E462812A196B27BB20","14","189781","2467153","image","uploads/9/1/6/0/91600416/screen-shot-2016-12-23-at-17-44-51_6.png","/media/images/screen-shot-2016-12-23-at-17-44-51-6.png","uploads/9/1/6/0/91600416/screen-shot-2016-12-23-at-17-44-51_10.png; uploads/9/1/6/0/91600416/screen-shot-2016-12-23-at-17-44-51_11.png; uploads/9/1/6/0/91600416/screen-shot-2016-12-23-at-17-44-51_12.png; uploads/9/1/6/0/91600416/screen-shot-2016-12-23-at-17-44-51_13.png; uploads/9/1/6/0/91600416/screen-shot-2016-12-23-at-17-44-51_15.png"
"2E41DD17AA206011FDD01A90D61A705FACE7324FDB9C1BD46567C60EEE2F7E32","13","179466","2153592","image","uploads/9/1/6/0/91600416/matthieu-koroma_6.jpg","/media/images/matthieu-koroma-6.jpg","uploads/9/1/6/0/91600416/matthieu-koroma_10.jpg; uploads/9/1/6/0/91600416/matthieu-koroma_11.jpg; uploads/9/1/6/0/91600416/matthieu-koroma_12.jpg; uploads/9/1/6/0/91600416/matthieu-koroma_14.jpg; uploads/9/1/6/0/91600416/matthieu-koroma_15.jpg"
"BB068910899915045B8F6556140CE56C3CE72920620520F07D9D01D60155BFB8","13","172268","2067216","image","uploads/9/1/6/0/91600416/daf-headshot_6.jpg","/media/images/daf-headshot-6.jpg","uploads/9/1/6/0/91600416/daf-headshot_10.jpg; uploads/9/1/6/0/91600416/daf-headshot_11.jpg; uploads/9/1/6/0/91600416/daf-headshot_12.jpg; uploads/9/1/6/0/91600416/daf-headshot_13.jpg; uploads/9/1/6/0/91600416/daf-headshot_15.jpg"
"96D25433E22038A72D8BBE7F5F785394FCEDFE989665331BA5DE38A9843D3BA2","4","680108","2040324","image","uploads/9/1/6/0/91600416/stratos_3.png","/media/images/stratos-3.png","uploads/9/1/6/0/91600416/stratos_3.png; uploads/9/1/6/0/91600416/stratos_4.png; uploads/9/1/6/0/91600416/stratos_5.png; uploads/9/1/6/0/91600416/stratos_6.png"
"FBE9635B1E21E80CAD9CFFDFA5A0E0CF418C9372258DC2E3D911E6EDE2875335","2","2005413","2005413","image","uploads/9/1/6/0/91600416/breathink-fast_orig.gif","/media/images/breathink-fast-orig.gif","uploads/9/1/6/0/91600416/breathink-fast_1.gif; uploads/9/1/6/0/91600416/breathink-fast_orig.gif"
