"relative_path","bytes_before","error"
"static/media/animations/finfin8-orig.gif","86245558","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\finfin8-orig.gif' because it is being used by another process."""
"static/media/animations/output-1.gif","78731692","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\output-1.gif' because it is being used by another process."""
"static/media/animations/vr-transparent-orig.gif","60979761","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\vr-transparent-orig.gif' because it is being used by another process."""
"static/media/animations/vr-flipped-transparent-orig.gif","56402192","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\vr-flipped-transparent-orig.gif' because it is being used by another process."""
"static/media/animations/ezgif-2-0153de9630-2.gif","50280794","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\ezgif-2-0153de9630-2.gif' because it is being used by another process."""
"static/media/animations/trippy-brain-patterns-93d438-1-orig.gif","50239879","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\trippy-brain-patterns-93d438-1-orig.gif' because it is being used by another process."""
"static/media/animations/forward-reverse-gif-2.gif","44462521","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\forward-reverse-gif-2.gif' because it is being used by another process."""
"static/media/animations/video-converted-orig.gif","22729920","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\video-converted-orig.gif' because it is being used by another process."""
"static/media/animations/converted-video-orig.gif","17146814","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\converted-video-orig.gif' because it is being used by another process."""
"static/media/animations/ezgif-3-aca8819603-3.gif","10226700","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\ezgif-3-aca8819603-3.gif' because it is being used by another process."""
