"legacy_path","canonical_path","live_status","local_exists","title_match","body_class_match","visual_structure_match","desktop_nav_match","mobile_nav_match","desktop_menu_text_match","mobile_menu_text_match","live_visual_hash","local_visual_hash","live_desktop_nav_hash","local_desktop_nav_hash","live_mobile_nav_hash","local_mobile_nav_hash","live_menu_signature","local_menu_signature","note"
"1.html","/archive/misc/1/","200","True","True","True","False","False","False","True","True","9E839CBA63570F8307045F8D31BA19D3B1C87C8A22C43C49ECEB531FA5E4E1D3","B3EED41FDC455E9BFEF9F3E8FE3CB2434DBF855CEAD10527DEB82F02678B3877","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","Home | About | Team | Bulletin | Journal Clubs | Events | Membership","Home | About | Team | Bulletin | Journal Clubs | Events | Membership",""
"2.html","/archive/misc/2/","200","True","True","True","False","False","False","True","True","DBEA65AD9878B03FE1F472A95D84B719D0D4C33E6EA75E02F0B7FD2C3A422EA8","655582D2056C1A0C8054CFF8818637E8D8B217BABAE38E476FBBF3BD0CFA01D0","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","Home | About | Team | Bulletin | Journal Clubs | Events | Membership","Home | About | Team | Bulletin | Journal Clubs | Events | Membership",""
"7.html","/archive/misc/7/","200","True","True","True","False","False","False","True","True","061C87AE6941FA47E27C1125BC52D50A68E69E410E499AE6CAFC181EAAF4D67A","9F38EE058798D86958D048CD8E082473565080F4E9517150F4F13510AE8292FF","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","Home | About | Team | Bulletin | Journal Clubs | Events | Membership","Home | About | Team | Bulletin | Journal Clubs | Events | Membership",""
"8.html","/archive/misc/8/","200","True","True","True","False","False","False","True","True","DA3C958F2E84F950FB74EDAECB8419B2CBCB0540B55382350F2067858468E104","0A3C135D9BDFF52D8F39DCA5E3DAC3FFB807687A5CA462E7301D0F364025EF9A","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","Home | About | Team | Bulletin | Journal Clubs | Events | Membership","Home | About | Team | Bulletin | Journal Clubs | Events | Membership",""
"about.html","/about/","200","True","True","True","False","True","False","True","True","9F044D0719671D92B21F6956D49BF93A7C3AC7D1AAF38952051BE640261EFE9D","5E334338E6B3010498D37A2954D8B3D47932569494A4F74A556D42C82CDBB753","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","A370B1DA36F2FF3518A2FCE176DFFF88DBFE6774410737EFBD06DC8131CF6BD3","8F4175C29DAF6F0F6C555027645531E011270226C842AB190E2BAE99D8063C56","","","banner-wrap missing"
"active-roles.html","/pages/active-roles/","200","True","True","True","False","True","False","True","True","064DBC608FCC86910A177EB7214CC69F047723B71DF6F712B74E6B78EDCFAC21","46722EF2DAB3019CE020D0E191EC21711A26CCE3283463245CD03432B83C682B","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ECB9526E9FD21907BFA817EDFB24A4633F9EC5968FE7A731C19748FECBB3E2B1","991F406EF4FADD7D0C8577726C7EFEADF0A4BB044C231719057D1A3A41AADCCE","","","banner-wrap missing"
"alpha-waves.html","/pages/alpha-waves/","200","True","True","True","False","True","False","True","True","195FA7B4A864F9116A4A85F11163B7C8A3253B1419595BDAD98842DC233C91E3","BCC591F00F04D088ABD66DFB1EDF3AEEFCC43D903BBE197E6C77BC4BD4BCCB5E","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","","","banner-wrap missing"
"anima.html","/research/projects/anima/","200","True","True","True","False","True","False","True","True","C8F5A996B3B9E5FCD24B97CAE7EE6D82C38A3E466CA9637EC05C34688A9F8F62","29D15FAE4E20C0A4BD0D9BFEB19E046474ED5ADD9AB9E555276593847DF0A5DF","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","","","banner-wrap missing"
"application-late.html","/events/application-late/","200","True","True","True","False","True","False","True","True","C0C85CE00C745E459139639963EA5C54BD13B0D88041B64B01DA23471E693C7C","31D33754BC40C6E143360FCAC3FFF2D6D96468693AB73647A3D3448A5A0ECE1D","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","719A7C8BB1A92F8C80C9B368FAEB1B55B7BFD68F81789C2F81D878E082CA2CA0","5D962A7AD3252ECD66E3120BED063AB3317545A6A3FE6070FB081DAE5D5ADB8C","","","banner-wrap missing"
"attendees.html","/events/attendees/","200","True","True","True","False","True","False","True","True","3CC24291CD98B73E9C3E66F3C815994C11BCA5C0D82152D3E04E5FB67293A1C6","0B2E8C1FECAD452B2F2DDE98382106C433522FC00369FC78667F38924D3960A3","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","88718E96A8439A1D8310EFEB4EDADBE82DDAD575DCB06803A20B25571CFFE58F","479B372917D78DCB49A8E78CC131A7C9CF11A52619B047A01E6A26243404855F","","","banner-wrap missing"
